pl_name,pl_rade,pl_bmasse
"TOI-954 b",9.55006800,55.30242000
"K2-329 b",8.67576600,82.63580000
"TOI-481 b",11.09691000,486.27990000
"TOI-892 b",11.99363000,301.93850000
"TIC 237913194 b",12.52045300,617.22586000
"WASP-186 b",12.44199000,1341.24260000
"WASP-187 b",18.38276000,254.26400000
"LP 714-47 b",4.25000000,28.38000000
"TOI-251 b",2.74000000,317.83000000
"HAT-P-68 b",12.01604800,230.10892000
"TOI-776 b",1.79800000,5.00000000
"TOI-776 c",2.04700000,6.90000000
"TOI-561 b",1.39700000,2.02000000
"TOI-561 c",2.86500000,5.93000000
"TOI-561 d",2.61500000,13.33000000
"TOI-561 e",2.51700000,12.40000000
"TOI-564 b",11.43318000,464.98529000
"TOI-905 b",13.12573900,211.99261000
"TOI-451 b",1.84000000,4.70000000
"TOI-451 c",2.93000000,3.70000000
"TOI-451 d",3.93000000,10.20000000
"NGTS-13 b",12.80067800,1538.29720000
"HD 110113 b",2.05000000,4.55000000
"TOI-178 b",1.20000000,0.96000000
"TOI-178 c",1.75400000,4.64000000
"TOI-178 d",2.69500000,5.20000000
"TOI-178 e",2.30100000,3.48000000
"TOI-178 f",2.41700000,5.63000000
"TOI-178 g",2.93900000,4.40000000
"HD 183579 b",3.49000000,20.40000000
"NGTS-14 A b",4.97679600,29.24036000
"K2-138 g",3.01300000,4.32000000
"TOI-628 b",11.88154000,2011.86390000
"TOI-640 b",19.27944680,181.16219199
"TOI-1333 b",15.64776400,753.25710000
"TOI-1478 b",11.99360935,279.68899816
